Time step,Net load,Load,Solar PV,Inverter AC,Battery,Electric vehicle,
0,0.683,0.683,0,0,0,0,
1,0.585,0.585,0,0,0,0,
2,0.549,0.549,0,0,0,0,
3,0.543,0.543,0,0,0,0,
4,0.54,0.54,0,0,0,0,
5,0.6,0.6,0,0,0,0,
6,0.828,0.828,0,0,0,0,
7,1.137,1.137,0,0,0,0,
8,0.4331,1.043,0.642,0.6099,0,0,
9,-0.7247,0.82,1.626,1.5447,0,0,
10,-1.4237,0.805,2.346,2.2287,0,0,
11,-1.9441,0.809,2.898,2.7531,0,0,
12,-2.2152,0.783,3.156,2.9982,0,0,
13,-2.0539,0.779,2.982,2.8329,0,0,
14,-1.7189,0.772,2.622,2.4909,0,0,
15,-0.3491,0.808,1.218,1.1571,0,0,
16,-0.0153,0.948,1.014,0.9633,0,0,
17,0,1.272,0,1.272,1.33895,0,
18,1.66,1.66,0,0,0,0,
19,1.867,1.867,0,0,0,0,
20,5.13,1.83,0,0,0,3.3,
21,4.896,1.596,0,0,0,3.3,
22,4.595,1.295,0,0,0,3.3,
23,3.72558,0.994,0,0,0,2.73158,
24,0.679,0.679,0,0,0,0,
25,0.569,0.569,0,0,0,0,
26,0.533,0.533,0,0,0,0,
27,0.524,0.524,0,0,0,0,
28,0.521,0.521,0,0,0,0,
29,0.578,0.578,0,0,0,0,
30,0.788,0.788,0,0,0,0,
31,1.108,1.108,0,0,0,0,
32,1.025,1.025,0.312,0,-0.312,0,
33,0.548533,0.811,1.452,0.262467,-1.17572,0,
34,-1.2064,0.8,2.112,2.0064,0,0,
35,-1.5337,0.809,2.466,2.3427,0,0,
36,-0.7161,0.783,1.578,1.4991,0,0,
37,-0.7201,0.779,1.578,1.4991,0,0,
38,-0.653,0.772,1.5,1.425,0,0,
39,0,0.808,0.696,0.808,0.154526,0,
40,0,0.948,0.996,0.948,0.00189474,0,
41,0,1.272,0,1.272,1.33895,0,
42,1.66,1.66,0,0,0,0,
43,1.867,1.867,0,0,0,0,
44,5.13,1.83,0,0,0,3.3,
45,4.896,1.596,0,0,0,3.3,
46,4.596,1.296,0,0,0,3.3,
47,3.73458,1.003,0,0,0,2.73158,
48,0.699,0.699,0,0,0,0,
49,0.597,0.597,0,0,0,0,
50,0.558,0.558,0,0,0,0,
51,0.548,0.548,0,0,0,0,
52,0.543,0.543,0,0,0,0,
53,0.597,0.597,0,0,0,0,
54,0.816,0.816,0,0,0,0,
55,1.126,1.126,0,0,0,0,
56,1.037,1.037,0.504,0,-0.504,0,
57,0.293844,0.813,1.704,0.519156,-1.15752,0,
58,-1.3107,0.804,2.226,2.1147,0,0,
59,-0.1845,0.813,1.05,0.9975,0,0,
60,-0.4653,0.783,1.314,1.2483,0,0,
61,-0.6175,0.779,1.47,1.3965,0,0,
62,-0.3965,0.772,1.23,1.1685,0,0,
63,-0.0299,0.808,0.882,0.8379,0,0,
64,-0.0609,0.948,1.062,1.0089,0,0,
65,0,1.272,0.006,1.272,1.33295,0,
66,1.66,1.66,0,0,0,0,
67,1.867,1.867,0,0,0,0,
68,5.13,1.83,0,0,0,3.3,
69,4.896,1.596,0,0,0,3.3,
70,4.595,1.295,0,0,0,3.3,
71,3.73258,1.001,0,0,0,2.73158,
72,0.701,0.701,0,0,0,0,
73,0.599,0.599,0,0,0,0,
74,0.563,0.563,0,0,0,0,
75,0.559,0.559,0,0,0,0,
76,0.556,0.556,0,0,0,0,
77,0.612,0.612,0,0,0,0,
78,0.837,0.837,0,0,0,0,
79,1.146,1.146,0,0,0,0,
80,1.047,1.047,0.636,0,-0.636,0,
81,0.0861,0.828,1.626,0.7419,-0.845053,0,
82,-1.46,0.82,2.4,2.28,0,0,
83,-1.9726,0.809,2.928,2.7816,0,0,
84,-2.2095,0.783,3.15,2.9925,0,0,
85,-2.0197,0.779,2.946,2.7987,0,0,
86,-1.7075,0.772,2.61,2.4795,0,0,
87,-0.9476,0.808,1.848,1.7556,0,0,
88,-0.0438,0.948,1.044,0.9918,0,0,
89,0,1.272,0.006,1.272,1.33295,0,
90,1.66,1.66,0,0,0,0,
91,1.867,1.867,0,0,0,0,
92,5.13,1.83,0,0,0,3.3,
93,4.896,1.596,0,0,0,3.3,
94,4.595,1.295,0,0,0,3.3,
95,3.72658,0.995,0,0,0,2.73158,
96,0.697,0.697,0,0,0,0,
97,0.596,0.596,0,0,0,0,
98,0.562,0.562,0,0,0,0,
99,0.56,0.56,0,0,0,0,
100,0.555,0.555,0,0,0,0,
101,0.616,0.616,0,0,0,0,
102,0.848,0.848,0,0,0,0,
103,1.171,1.171,0,0,0,0,
104,1.078,1.078,0.624,0,-0.624,0,
105,0.168,0.87,1.596,0.702,-0.857053,0,
106,-1.3818,0.864,2.364,2.2458,0,0,
107,-1.9196,0.862,2.928,2.7816,0,0,
108,-2.0019,0.831,2.982,2.8329,0,0,
109,-2.1695,0.823,3.15,2.9925,0,0,
110,-1.6705,0.809,2.61,2.4795,0,0,
111,-0.8563,0.848,1.794,1.7043,0,0,
112,0,0.984,1.014,0.984,0.0217895,0,
113,0,1.308,0.012,1.308,1.36484,0,
114,1.695,1.695,0,0,0,0,
115,1.902,1.902,0,0,0,0,
116,5.166,1.866,0,0,0,3.3,
117,4.931,1.631,0,0,0,3.3,
118,4.624,1.324,0,0,0,3.3,
119,3.74558,1.014,0,0,0,2.73158,
120,0.708,0.708,0,0,0,0,
121,0.607,0.607,0,0,0,0,
122,0.572,0.572,0,0,0,0,
123,0.563,0.563,0,0,0,0,
124,0.565,0.565,0,0,0,0,
125,0.627,0.627,0,0,0,0,
126,0.86,0.86,0,0,0,0,
127,1.177,1.177,0,0,0,0,
128,1.106,1.106,0.348,0,-0.348,0,
129,0.411967,0.892,1.698,0.480033,-1.1927,0,
130,-1.2287,0.886,2.226,2.1147,0,0,
131,-2.0051,0.862,3.018,2.8671,0,0,
132,-1.9677,0.831,2.946,2.7987,0,0,
133,-1.97,0.823,2.94,2.793,0,0,
134,-1.4767,0.809,2.406,2.2857,0,0,
135,-0.8905,0.848,1.83,1.7385,0,0,
136,-0.0477,0.984,1.086,1.0317,0,0,
137,0,1.308,0.012,1.308,1.36484,0,
138,1.695,1.695,0,0,0,0,
139,1.902,1.902,0,0,0,0,
140,5.166,1.866,0,0,0,3.3,
141,4.931,1.631,0,0,0,3.3,
142,4.624,1.324,0,0,0,3.3,
143,3.74358,1.012,0,0,0,2.73158,
144,0.697,0.697,0,0,0,0,
145,0.596,0.596,0,0,0,0,
146,0.561,0.561,0,0,0,0,
147,0.557,0.557,0,0,0,0,
148,0.555,0.555,0,0,0,0,
149,0.612,0.612,0,0,0,0,
150,0.836,0.836,0,0,0,0,
151,1.149,1.149,0,0,0,0,
152,1.055,1.055,0.606,0,-0.606,0,
153,0.442267,0.837,1.326,0.394733,-0.910491,0,
154,-1.1519,0.826,2.082,1.9779,0,0,
155,-1.2695,0.811,2.19,2.0805,0,0,
156,-2.2665,0.783,3.21,3.0495,0,0,
157,-1.6093,0.779,2.514,2.3883,0,0,
158,-1.1147,0.772,1.986,1.8867,0,0,
159,-1.0559,0.808,1.962,1.8639,0,0,
160,-0.0552,0.948,1.056,1.0032,0,0,
161,0,1.272,0.018,1.272,1.32095,0,
162,1.66,1.66,0,0,0,0,
163,1.867,1.867,0,0,0,0,
164,5.13,1.83,0,0,0,3.3,
165,4.896,1.596,0,0,0,3.3,
166,4.595,1.295,0,0,0,3.3,
167,3.72558,0.994,0,0,0,2.73158,
168,0.679,0.679,0,0,0,0,
169,0.566,0.566,0,0,0,0,
170,0.526,0.526,0,0,0,0,
171,0.525,0.525,0,0,0,0,
172,0.522,0.522,0,0,0,0,
173,0.582,0.582,0,0,0,0,
174,0.808,0.808,0,0,0,0,
175,1.123,1.123,0,0,0,0,
176,1.022,1.022,0.678,0,-0.678,0,
177,-0.0370667,0.803,1.674,0.840067,-0.789719,0,
178,-1.5028,0.8,2.424,2.3028,0,0,
179,-2.0581,0.809,3.018,2.8671,0,0,
180,-2.295,0.783,3.24,3.078,0,0,
181,-2.071,0.779,3,2.85,0,0,
182,-1.8044,0.772,2.712,2.5764,0,0,
183,-1.0502,0.808,1.956,1.8582,0,0,
184,-0.1179,0.948,1.122,1.0659,0,0,
185,0,1.272,0.024,1.272,1.31495,0,
186,1.66,1.66,0,0,0,0,
187,1.867,1.867,0,0,0,0,
188,5.13,1.83,0,0,0,3.3,
189,4.896,1.596,0,0,0,3.3,
190,4.595,1.295,0,0,0,3.3,
191,3.72558,0.994,0,0,0,2.73158,
192,0.679,0.679,0,0,0,0,
193,0.566,0.566,0,0,0,0,
194,0.519,0.519,0,0,0,0,
195,0.504,0.504,0,0,0,0,
196,0.491,0.491,0,0,0,0,
197,0.544,0.544,0,0,0,0,
198,0.759,0.759,0,0,0,0,
199,1.08,1.08,0,0,0,0,
200,0.998,0.998,0.462,0,-0.462,0,
201,0.4696,0.803,1.35,0.3334,-0.999053,0,
202,-1.2577,0.8,2.166,2.0577,0,0,
203,-1.4995,0.809,2.43,2.3085,0,0,
204,-1.3317,0.783,2.226,2.1147,0,0,
205,-1.3072,0.779,2.196,2.0862,0,0,
206,-1.109,0.772,1.98,1.881,0,0,
207,-0.4802,0.808,1.356,1.2882,0,0,
208,-0.1008,0.948,1.104,1.0488,0,0,
209,0,1.272,0.024,1.272,1.31495,0,
210,1.66,1.66,0,0,0,0,
211,1.867,1.867,0,0,0,0,
212,5.13,1.83,0,0,0,3.3,
213,4.896,1.596,0,0,0,3.3,
214,4.595,1.295,0,0,0,3.3,
215,3.72558,0.994,0,0,0,2.73158,
216,0.679,0.679,0,0,0,0,
217,0.566,0.566,0,0,0,0,
218,0.519,0.519,0,0,0,0,
219,0.504,0.504,0,0,0,0,
220,0.491,0.491,0,0,0,0,
221,0.544,0.544,0,0,0,0,
222,0.757,0.757,0,0,0,0,
223,1.079,1.079,0,0,0,0,
224,1.001,1.001,0.102,0,-0.102,0,
225,0.805,0.805,0.678,0,-0.678,0,
226,0.3975,0.805,1.11,0.4075,-0.681053,0,
227,-1.9669,0.809,2.922,2.7759,0,0,
228,-2.3235,0.783,3.27,3.1065,0,0,
229,-2.2021,0.779,3.138,2.9811,0,0,
230,-1.6163,0.772,2.514,2.3883,0,0,
231,0,0.808,0.312,0.808,0.538526,0,
232,0,0.948,0.168,0.948,0.829895,0,
233,0,1.272,0.006,1.272,1.33295,0,
234,1.66,1.66,0,0,0,0,
235,1.867,1.867,0,0,0,0,
236,5.13,1.83,0,0,0,3.3,
237,4.896,1.596,0,0,0,3.3,
238,4.595,1.295,0,0,0,3.3,
239,3.72558,0.994,0,0,0,2.73158,
240,0.679,0.679,0,0,0,0,
